Genuine Pair Comparisons
--------------------------------
File 1               | File 2               | Hamming Distance
--------------------------------
001_2_1.jpg.mat      | 001_1_1.jpg.mat      | 0.3135
001_2_1.jpg.mat      | 001_1_2.jpg.mat      | 0.2942
001_2_1.jpg.mat      | 001_2_4.jpg.mat      | 0.3506
001_2_1.jpg.mat      | 001_2_2.jpg.mat      | 0.2856
001_2_1.jpg.mat      | 001_2_3.jpg.mat      | 0.2538
001_2_1.jpg.mat      | 001_1_3.jpg.mat      | 0.3219
001_1_1.jpg.mat      | 001_1_2.jpg.mat      | 0.2858
001_1_1.jpg.mat      | 001_2_4.jpg.mat      | 0.2960
001_1_1.jpg.mat      | 001_2_2.jpg.mat      | 0.2403
001_1_1.jpg.mat      | 001_2_3.jpg.mat      | 0.2818
001_1_1.jpg.mat      | 001_1_3.jpg.mat      | 0.2312
001_1_2.jpg.mat      | 001_2_4.jpg.mat      | 0.3305
001_1_2.jpg.mat      | 001_2_2.jpg.mat      | 0.2530
001_1_2.jpg.mat      | 001_2_3.jpg.mat      | 0.2683
001_1_2.jpg.mat      | 001_1_3.jpg.mat      | 0.2835
001_2_4.jpg.mat      | 001_2_2.jpg.mat      | 0.3141
001_2_4.jpg.mat      | 001_2_3.jpg.mat      | 0.3406
001_2_4.jpg.mat      | 001_1_3.jpg.mat      | 0.3167
001_2_2.jpg.mat      | 001_2_3.jpg.mat      | 0.2412
001_2_2.jpg.mat      | 001_1_3.jpg.mat      | 0.2467
001_2_3.jpg.mat      | 001_1_3.jpg.mat      | 0.2885
002_1_1.jpg.mat      | 002_2_4.jpg.mat      | 0.2822
002_1_1.jpg.mat      | 002_2_3.jpg.mat      | 0.2961
002_1_1.jpg.mat      | 002_2_2.jpg.mat      | 0.3292
002_1_1.jpg.mat      | 002_1_2.jpg.mat      | 0.3603
002_1_1.jpg.mat      | 002_2_1.jpg.mat      | 0.3229
002_1_1.jpg.mat      | 002_1_3.jpg.mat      | 0.3250
002_2_4.jpg.mat      | 002_2_3.jpg.mat      | 0.3678
002_2_4.jpg.mat      | 002_2_2.jpg.mat      | 0.3419
002_2_4.jpg.mat      | 002_1_2.jpg.mat      | 0.3184
002_2_4.jpg.mat      | 002_2_1.jpg.mat      | 0.3612
002_2_4.jpg.mat      | 002_1_3.jpg.mat      | 0.3577
002_2_3.jpg.mat      | 002_2_2.jpg.mat      | 0.2768
